37	38	10	43	14	18
2	38	35	6	25	8
11	27	1	40	44	16
19	29	37	14	24	8
32	16	8	42	10	3
3	41	22	18	29	2
12	2	30	10	14	3
26	18	15	13	3	18
21	45	35	44	9	13
43	21	31	17	41	2
27	1	28	15	12	1
43	4	17	41	39	15
31	8	15	40	21	3
36	29	2	4	28	2
34	10	35	24	31	5
1	28	16	20	29	1
28	39	25	30	12	16
7	34	23	45	4	12
15	1	8	5	12	19
33	38	6	15	42	19
43	28	33	32	24	18
41	35	33	43	40	4
24	10	11	41	25	6
26	23	36	12	17	20
38	4	3	32	39	19
8	6	27	42	12	16
42	2	28	14	23	1
31	29	11	15	16	18
25	33	8	31	17	10
1	10	5	30	2	17
36	5	35	12	33	8
32	11	28	26	10	11
6	23	24	37	25	9
15	40	19	16	7	11
5	10	28	16	40	19
11	22	25	18	41	19
20	7	23	40	6	15
10	45	29	36	35	7
24	27	18	41	10	15
41	13	12	5	40	2
43	7	31	44	22	13
34	43	38	40	41	6
27	12	23	8	29	15
12	42	1	21	7	17
41	9	40	16	33	3
30	24	8	16	37	17
2	41	27	9	12	11
3	29	42	33	32	20
15	14	17	38	12	8
25	35	29	44	36	11
17	13	36	45	21	6
43	12	10	29	30	12
28	31	37	27	42	1
3	23	13	32	17	19
27	34	14	25	23	20
37	30	38	21	4	8
13	19	2	16	20	11
17	37	38	29	31	15
20	35	4	14	27	10
41	8	10	38	28	6
8	24	3	40	5	17
21	34	19	18	38	15
41	45	31	5	2	11
33	3	4	16	37	15
27	22	38	42	40	2
25	1	22	38	16	2
9	11	33	43	44	13
36	21	4	34	33	16
43	33	17	29	11	16
10	14	13	30	7	17
13	8	30	42	1	3
41	31	23	45	14	7
14	12	45	8	23	16
18	14	45	27	11	19
31	20	22	32	29	5
29	38	22	27	8	4
21	25	20	30	38	11
36	26	22	11	35	18
25	42	37	4	7	13
17	26	34	16	14	10
